snhm;ecart;Emploi
13.8;1.6;Inconnu(e)
13.7;1.6;Inconnu(e)
14.5;1.6;Inconnu(e)
12.8;1;Inconnu(e)
18.4;3.5;Inconnu(e)
13.4;2.4;Inconnu(e)
12.9;2.4;Inconnu(e)
13.3;2.5;Inconnu(e)
13.4;2.4;Inconnu(e)
13.3;2.7;Inconnu(e)
13.1;2.5;Inconnu(e)
12.9;2.4;Inconnu(e)
13.1;2.2;Inconnu(e)
13.6;2.7;Inconnu(e)
14.1;2.9;Inconnu(e)
14;2.9;Inconnu(e)
12.6;2;Inconnu(e)
14.6;2.7;Inconnu(e)
13.9;2.9;Inconnu(e)
14;2.4;Inconnu(e)
26.5;5.4;Cadres
26.4;5.9;Cadres
27.9;6.2;Cadres
25.4;5;Cadres
29.4;6.7;Cadres
24;4.9;Cadres
23.4;5;Cadres
24.1;5;Cadres
23.9;4.8;Cadres
23.9;5;Cadres
23.3;4.8;Cadres
23.1;4.8;Cadres
23.7;5;Cadres
23.7;4.9;Cadres
24.6;5.1;Cadres
24.7;5.3;Cadres
22.5;4.6;Cadres
26.1;5.2;Cadres
24.7;5.5;Cadres
24.5;4.9;Cadres
15.7;1.7;Intermediaires 
15.4;1.9;Intermediaires 
16.8;2.3;Intermediaires 
14.8;1.2;Intermediaires 
16;1.8;Intermediaires 
14.5;1.9;Intermediaires 
14.2;2.1;Intermediaires 
14.7;2.4;Intermediaires 
14.4;2.2;Intermediaires 
14.5;2.3;Intermediaires 
13.9;1.7;Intermediaires 
14;1.9;Intermediaires 
14.2;1.9;Intermediaires 
14.2;2;Intermediaires 
14.6;2.2;Intermediaires 
14.6;2.1;Intermediaires 
15.1;2.9;Intermediaires 
14.7;2;Intermediaires 
15.1;2.5;Intermediaires 
14.5;1.7;Intermediaires 
11.2;0.6;Employe(e)s
11;0.3;Employe(e)s
11.1;0;Employe(e)s
10.5;0.2;Employe(e)s
11.7;0.2;Employe(e)s
10.5;0.8;Employe(e)s
10.3;0.9;Employe(e)s
10.4;0.8;Employe(e)s
10.5;0.8;Employe(e)s
10.4;0.9;Employe(e)s
10.4;0.9;Employe(e)s
10.3;0.9;Employe(e)s
10.3;0.7;Employe(e)s
10.3;0.7;Employe(e)s
10.7;0.9;Employe(e)s
10.5;0.7;Employe(e)s
10.2;0.7;Employe(e)s
10.7;0.7;Employe(e)s
10.5;0.9;Employe(e)s
10.6;0.6;Employe(e)s
11;1.9;Ouvrier(e)s
11.1;2;Ouvrier(e)s
10.9;2;Ouvrier(e)s
10.7;1.9;Ouvrier(e)s
12.1;1.6;Ouvrier(e)s
11.1;1.2;Ouvrier(e)s
11;1.5;Ouvrier(e)s
11.3;1.6;Ouvrier(e)s
11.1;1.7;Ouvrier(e)s
11.2;1.7;Ouvrier(e)s
10.9;1.5;Ouvrier(e)s
10.7;1.2;Ouvrier(e)s
10.8;1.4;Ouvrier(e)s
10.8;1.5;Ouvrier(e)s
11.3;1.8;Ouvrier(e)s
11.2;2;Ouvrier(e)s
10.8;1.8;Ouvrier(e)s
11.2;1.6;Ouvrier(e)s
11.8;2.1;Ouvrier(e)s
11.3;1.8;Ouvrier(e)s
